what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1487868809040
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1487868809566
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1487868809973
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868823131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868825362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868827487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868827870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868829074
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1487868835008
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1487868838946
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868843898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868844597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868844773
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868844947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868845110
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868845296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1487868846687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868848806
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868848995
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868849165
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868849323
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868850381
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868850855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868851008
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868851188
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487868851419
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868854995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868855822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868856253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487868877176
